occurrenceID	taxonID
CT102548	T102548
CT102550	T102550
CT102555	T102555
CT102559	T102559
CT102562	T102562
CT102564	T102564
CT102567	T102567
CT102568	T102568
CT102571	T102571
CT102572	T102572
CT102575	T102575
CT102577	T102577
CT102578	T102578
CT102579	T102579
CT102581	T102581
CT102582	T102582
CT102585	T102585
CT102588	T102588
CT102590	T102590
CT102591	T102591
CT102593	T102593
CT102596	T102596
CT102597	T102597
CT102599	T102599
CT102601	T102601
CT102602	T102602
CT102604	T102604
CT102606	T102606
CT102609	T102609
CT102613	T102613
CT102615	T102615
CT102616	T102616
CT102618	T102618
CT102619	T102619
CT102623	T102623
CT102626	T102626
CT102629	T102629
CT102632	T102632
CT102634	T102634
CT102635	T102635
CT102637	T102637
CT102640	T102640
CT102642	T102642
CT102643	T102643
CT102644	T102644
CT102648	T102648
CT102649	T102649
CT102651	T102651
CT102654	T102654
CT102655	T102655
CT102656	T102656
CT102659	T102659
CT102661	T102661
CT102662	T102662
CT102663	T102663
CT102666	T102666
CT102669	T102669
CT102671	T102671
CT102675	T102675
CT102676	T102676
CT102677	T102677
CT102678	T102678
CT102680	T102680
CT102681	T102681
CT102683	T102683
CT102684	T102684
CT102689	T102689
CT102690	T102690
CT102691	T102691
CT102692	T102692
CT102696	T102696
CT102697	T102697
CT102698	T102698
CT102701	T102701
CT102703	T102703
CT102705	T102705
CT102708	T102708
CT102709	T102709
CT102710	T102710
CT102714	T102714
CT102717	T102717
CT102719	T102719
CT102721	T102721
CT102722	T102722
CT102723	T102723
CT102724	T102724
CT102728	T102728
CT102731	T102731
CT102733	T102733
CT102734	T102734
CT102735	T102735
CT102736	T102736
CT102738	T102738
CT102739	T102739
CT102740	T102740
CT102742	T102742
CT102743	T102743
CT102746	T102746
CT102748	T102748
CT102749	T102749
CT102750	T102750
CT102752	T102752
CT102755	T102755
CT102756	T102756
CT102758	T102758
CT102760	T102760
CT102762	T102762
CT102763	T102763
CT102766	T102766
CT102768	T102768
CT102770	T102770
CT102771	T102771
CT102773	T102773
CT102775	T102775
CT102778	T102778
CT102780	T102780
CT102782	T102782
CT102784	T102784
CT102787	T102787
CT102791	T102791
CT102792	T102792
CT102793	T102793
CT102795	T102795
CT102796	T102796
CT102798	T102798
CT102800	T102800
CT102804	T102804
CT102806	T102806
CT102808	T102808
CT102809	T102809
CT102812	T102812
CT102813	T102813
CT102816	T102816
CT102819	T102819
CT102820	T102820
CT102822	T102822
CT102826	T102826
CT102828	T102828
CT102830	T102830
CT102831	T102831
CT102832	T102832
CT102833	T102833
CT102837	T102837
CT102839	T102839
CT102840	T102840
CT102841	T102841
CT102844	T102844
CT102845	T102845
CT102849	T102849
CT102853	T102853
CT102857	T102857
CT102860	T102860
CT102861	T102861
CT102865	T102865
CT102868	T102868
CT102869	T102869
CT102871	T102871
CT102872	T102872
CT102875	T102875
CT102877	T102877
CT102878	T102878
CT102880	T102880
CT102883	T102883
CT102885	T102885
CT102887	T102887
CT102890	T102890
CT102892	T102892
CT102894	T102894
CT102895	T102895
CT102896	T102896
CT102899	T102899
CT102900	T102900
CT102903	T102903
CT102905	T102905
CT102907	T102907
CT102908	T102908
CT102909	T102909
CT102913	T102913
CT102917	T102917
CT102919	T102919
CT102920	T102920
CT102921	T102921
CT102923	T102923
CT102924	T102924
CT102927	T102927
CT102930	T102930
CT102932	T102932
CT102936	T102936
CT102937	T102937
CT102939	T102939
CT102941	T102941
CT102945	T102945
CT102946	T102946
CT102949	T102949
CT102950	T102950
CT102953	T102953
CT102954	T102954
CT102957	T102957
CT102959	T102959
CT102961	T102961
CT102963	T102963
CT102965	T102965
CT102966	T102966
CT102968	T102968
CT102971	T102971
CT102973	T102973
CT102974	T102974
CT102976	T102976
CT102979	T102979
CT102982	T102982
CT102983	T102983
CT102987	T102987
CT102989	T102989
CT102991	T102991
CT102995	T102995
CT102996	T102996
CT102997	T102997
CT102998	T102998
CT102999	T102999
CT103000	T103000
CT103002	T103002
CT103004	T103004
CT103007	T103007
CT103010	T103010
CT103012	T103012
CT103013	T103013
CT103016	T103016
CT103017	T103017
CT103018	T103018
CT103019	T103019
CT103021	T103021
CT103023	T103023
CT103025	T103025
CT103026	T103026
CT103027	T103027
CT103029	T103029
CT103030	T103030
CT103031	T103031
CT103032	T103032
CT103034	T103034
CT103036	T103036
CT103039	T103039
CT103040	T103040
CT103042	T103042
CT103047	T103047
CT103048	T103048
CT103051	T103051
CT103053	T103053
CT103056	T103056
CT103059	T103059
CT103062	T103062
CT103066	T103066
CT103068	T103068
CT103069	T103069
CT103072	T103072
CT103074	T103074
CT103077	T103077
CT103078	T103078
CT103079	T103079
CT103083	T103083
CT103086	T103086
CT103088	T103088
