occurrenceID	taxonID
CT101989	T101989
CT101990	T101990
CT101991	T101991
CT101994	T101994
CT101995	T101995
CT101996	T101996
CT101999	T101999
CT102002	T102002
CT102003	T102003
CT102004	T102004
CT102006	T102006
CT102007	T102007
CT102008	T102008
CT102010	T102010
CT102011	T102011
CT102012	T102012
CT102013	T102013
CT102014	T102014
CT102016	T102016
CT102017	T102017
CT102018	T102018
CT102019	T102019
CT102023	T102023
CT102024	T102024
CT102026	T102026
CT102028	T102028
CT102030	T102030
CT102031	T102031
CT102032	T102032
CT102035	T102035
CT102037	T102037
CT102039	T102039
CT102040	T102040
CT102042	T102042
CT102043	T102043
CT102045	T102045
CT102046	T102046
CT102048	T102048
CT102050	T102050
CT102051	T102051
CT102053	T102053
CT102054	T102054
CT102055	T102055
CT102059	T102059
CT102060	T102060
CT102063	T102063
CT102065	T102065
CT102067	T102067
CT102068	T102068
CT102069	T102069
CT102070	T102070
CT102072	T102072
CT102073	T102073
CT102077	T102077
CT102078	T102078
CT102080	T102080
CT102082	T102082
CT102084	T102084
CT102085	T102085
CT102086	T102086
CT102087	T102087
CT102089	T102089
CT102092	T102092
CT102094	T102094
CT102095	T102095
CT102096	T102096
CT102097	T102097
CT102099	T102099
CT102100	T102100
CT102103	T102103
CT102104	T102104
CT102105	T102105
CT102106	T102106
CT102107	T102107
CT102111	T102111
CT102112	T102112
CT102114	T102114
CT102115	T102115
CT102116	T102116
CT102118	T102118
CT102120	T102120
CT102121	T102121
CT102123	T102123
CT102124	T102124
CT102126	T102126
CT102128	T102128
CT102129	T102129
CT102131	T102131
CT102132	T102132
CT102135	T102135
CT102136	T102136
CT102137	T102137
CT102138	T102138
CT102139	T102139
CT102140	T102140
CT102142	T102142
CT102144	T102144
CT102146	T102146
CT102147	T102147
CT102149	T102149
CT102150	T102150
CT102151	T102151
CT102152	T102152
CT102153	T102153
CT102154	T102154
CT102155	T102155
CT102156	T102156
CT102158	T102158
CT102159	T102159
CT102161	T102161
CT102164	T102164
CT102165	T102165
CT102166	T102166
CT102167	T102167
CT102168	T102168
