occurrenceID	taxonID
CT101445	T101445
CT101447	T101447
CT101449	T101449
CT101451	T101451
CT101454	T101454
CT101457	T101457
CT101458	T101458
CT101459	T101459
CT101461	T101461
CT101463	T101463
CT101465	T101465
CT101467	T101467
CT101470	T101470
CT101471	T101471
CT101472	T101472
CT101474	T101474
CT101477	T101477
CT101479	T101479
CT101480	T101480
CT101481	T101481
CT101483	T101483
CT101486	T101486
CT101487	T101487
CT101490	T101490
CT101492	T101492
CT101493	T101493
CT101494	T101494
CT101496	T101496
CT101497	T101497
CT101498	T101498
CT101499	T101499
CT101500	T101500
CT101501	T101501
CT101503	T101503
CT101505	T101505
CT101508	T101508
CT101509	T101509
CT101512	T101512
CT101515	T101515
CT101516	T101516
CT101518	T101518
CT101522	T101522
CT101523	T101523
CT101524	T101524
CT101525	T101525
CT101529	T101529
CT101530	T101530
CT101532	T101532
CT101534	T101534
CT101535	T101535
CT101536	T101536
CT101537	T101537
CT101538	T101538
CT101540	T101540
CT101541	T101541
CT101543	T101543
CT101544	T101544
CT101545	T101545
CT101549	T101549
CT101550	T101550
CT101551	T101551
CT101553	T101553
CT101555	T101555
CT101556	T101556
CT101557	T101557
CT101559	T101559
CT101560	T101560
CT101562	T101562
CT101565	T101565
CT101566	T101566
CT101567	T101567
CT101569	T101569
CT101570	T101570
CT101573	T101573
CT101575	T101575
CT101576	T101576
CT101578	T101578
CT101579	T101579
CT101581	T101581
CT101583	T101583
CT101586	T101586
CT101587	T101587
CT101589	T101589
CT101591	T101591
CT101592	T101592
CT101594	T101594
CT101596	T101596
CT101597	T101597
CT101598	T101598
CT101601	T101601
CT101603	T101603
CT101605	T101605
CT101606	T101606
CT101607	T101607
CT101609	T101609
CT101610	T101610
CT101612	T101612
CT101613	T101613
CT101615	T101615
CT101619	T101619
CT101620	T101620
CT101621	T101621
CT101623	T101623
CT101624	T101624
CT101626	T101626
CT101628	T101628
CT101629	T101629
CT101631	T101631
CT101633	T101633
CT101634	T101634
CT101635	T101635
CT101636	T101636
